num_bed,year_built,longitude,latitude,num_room,num_bath,living_area,property_type,num_parking,accessible_buildings,family_quality,art_expos,emergency_shelters,emergency_water,Facilities,fire_stations,Cultural,Monuments,police_stations,Vacant,Free_Parking,askprice
2,1990,-73.5554151,45.5720025,5,1,115.76,9,1,6,143,186,26,197,215,32,60,36,18,43,50,372000
1,2009,-73.66487833,45.44239434,3,1,68.93,9,1,4,63,106,21,138,5,18,27,7,11,3,11,220000
2,1977,-73.53994846,45.46079286,9,2,134.71,9,2,4,76,175,14,130,216,23,46,26,10,43,26,625000
2,2006,-73.5680766,45.5467932,4,1,90.12,9,1,6,171,212,32,242,216,41,68,42,22,43,52,339000
2,1989,-73.54548144,45.59426678,7,2,111.67,9,1,5,130,136,24,174,181,27,52,29,14,23,33,357500
2,1982,-73.67091218,45.52072539,6,2,123.41,9,1,5,100,141,26,189,17,25,40,17,14,7,32,399000
6,2011,-73.6492794,45.5001634,8,2,104.79,9,1,5,135,212,32,249,129,35,63,28,21,34,42,478000
1,2005,-73.5601137,45.4961667,1,1,73.49,9,1,5,135,211,26,208,216,34,61,41,18,43,49,339000
2,2012,-73.54937911,45.53692826,5,1,99.96,9,1,5,152,208,27,215,216,35,64,41,18,43,51,348000
2,1984,-73.5711459,45.5858507,4,1,88.3,9,1,6,141,182,26,196,209,33,57,36,19,40,51,224500
2,2006,-73.55292572,45.44916671,5,2,99.41,9,2,4,77,172,16,131,216,22,44,27,12,43,28,415000
2,2001,-73.5551352,45.4589895,5,2,107.3,9,2,4,93,179,20,154,216,26,48,27,14,43,36,485000
2,1988,-73.5508035,45.462495,6,1,99.41,9,1,4,93,182,18,153,216,25,48,29,15,43,37,355000
2,2012,-73.63566524,45.54592648,4,1,88.91,9,1,5,151,194,33,256,194,37,66,40,21,42,51,375000
1,2007,-73.5864916,45.5719109,3,1,60.29,9,1,7,154,195,29,217,215,38,62,41,19,43,51,186000
3,1949,-73.6331156,45.4761651,6,1,95.69,9,1,5,130,228,32,238,179,35,61,32,21,38,41,335000
2,1989,-73.5475387,45.5578887,4,1,96.99,9,1,7,141,193,26,196,216,33,58,41,19,43,50,338000
2,1928,-73.56884927,45.50595309,6,1,111.11,1,2,4,150,212,28,233,216,37,63,42,19,43,52,779000
2,2009,-73.5896912,45.5349927,6,1,94.39,9,1,5,183,220,34,280,216,44,75,44,23,43,53,429000
2,2004,-73.58183969,45.47349524,7,1,94.76,9,1,4,129,215,26,213,216,34,64,42,18,43,42,379400
2,1988,-73.5533446,45.4650254,4,1,109.63,9,2,4,102,192,20,162,216,27,53,35,16,43,39,369000
1,1920,-73.54739422,45.514151,4,1,97.64,9,1,4,148,207,27,205,216,34,65,41,18,43,52,447000
2,2008,-73.5319261,45.5864052,5,1,83.61,9,1,5,124,134,23,161,186,24,50,28,14,26,34,259900
2,2005,-73.5345142,45.588021,6,1,86.03,9,1,5,125,134,23,165,186,24,51,28,14,26,33,249500
2,2012,-73.6177373,45.5343955,5,2,116.5,9,1,5,175,218,38,283,214,44,72,44,24,43,53,539000
1,2010,-73.5778201,45.497733,5,1,103.4,9,1,5,151,219,28,236,216,38,65,42,21,43,53,619000
2,2001,-73.5751172,45.4808714,4,2,108.88,9,1,5,130,212,24,217,216,35,62,41,18,43,44,468000
2,2013,-73.6276841,45.5155377,4,2,91.51,9,1,4,165,232,36,290,209,42,77,45,23,43,55,314000
1,2002,-73.5668787,45.5455524,5,1,82.68,9,1,6,169,210,32,242,216,41,68,42,22,43,52,273500
2,2011,-73.6198453,45.5367667,5,1,112.41,9,1,5,175,210,38,280,210,44,72,43,24,43,52,429000
3,1910,-73.6005439,45.5204284,7,1,108.14,9,2,5,177,224,36,292,216,43,75,44,22,43,53,479000
1,1942,-73.5788602,45.5362325,3,1,65.03,9,1,4,179,216,33,269,216,42,73,44,22,43,53,229000
1,1989,-73.5446199,45.4979433,4,1,133.78,9,1,4,125,206,23,181,216,30,61,41,16,43,47,499500
2,2006,-73.5623049,45.5964963,4,1,93.83,9,1,5,139,132,26,189,176,30,54,32,17,22,43,341995
1,2009,-73.644857,45.4179437,3,1,67.4,9,1,2,55,88,15,112,4,12,21,7,8,1,6,279000
2,2012,-73.5449258,45.5572639,4,1,69.68,9,1,6,139,189,25,191,216,32,55,39,19,43,50,265000
2,2007,-73.58238124,45.47366528,6,1,106.84,9,1,4,130,223,26,213,216,34,65,43,18,43,43,549000
2,1922,-73.5741005,45.5511021,7,1,92.9,9,1,6,173,208,32,241,216,40,67,44,22,43,52,278000
1,2013,-73.5602333,45.4920789,5,1,66.52,9,1,5,133,213,26,204,216,35,62,41,17,43,46,319000
1,1998,-73.6255364,45.4725882,3,1,65.5,9,1,5,128,226,32,235,192,35,62,32,20,40,40,285000
2,1999,-73.5767344,45.4774865,4,1,74.32,9,1,5,129,212,25,213,216,35,62,41,18,43,42,314000
2,2009,-73.6309852,45.5518062,4,2,114.55,9,1,5,162,193,34,257,198,41,70,39,24,42,51,374900
2,1986,-73.6442712,45.5619155,6,1,91.14,9,1,4,127,135,27,222,104,33,55,29,19,18,47,273000
1,2010,-73.562056,45.4967098,3,1,45.06,9,1,5,138,212,27,212,216,35,62,41,18,43,49,244000
3,2010,-73.5359142,45.6124466,6,1,97.08,9,1,4,111,57,23,140,76,20,36,12,10,7,20,284900
2,2003,-73.5841929,45.6060792,5,1,82.03,9,1,5,136,96,25,186,107,27,50,26,17,10,42,239000
2,2008,-73.53383072,45.59091759,10,1,92.62,9,1,5,124,130,23,163,182,24,50,28,14,24,29,243500
2,1984,-73.5383047,45.4650907,6,2,103.03,9,1,4,80,178,14,131,216,22,46,28,11,43,33,339000
4,1932,-73.6127141,45.5185441,10,1,137.5,9,1,5,171,230,34,296,216,44,77,44,23,43,53,699000
2,2010,-73.5390965,45.473018,4,2,104.05,9,2,5,89,194,18,141,216,24,52,37,11,43,38,522000
3,1926,-73.5690992,45.5303953,8,2,195.1,9,2,5,174,211,31,251,216,40,69,42,22,43,53,574000
1,2001,-73.6719778,45.5233891,3,1,74.32,9,1,5,99,115,24,183,13,24,39,16,14,5,30,230000
2,2012,-73.6160206,45.5230343,4,1,83.98,9,1,5,171,223,34,297,215,44,76,44,23,43,53,450000
2,2006,-73.581169,45.474261,5,1,97.55,9,1,5,129,214,27,215,216,34,64,41,18,43,43,399999
1,1865,-73.5579861,45.5021354,4,1,117.99,9,1,4,138,210,26,210,216,34,63,41,18,43,52,572000
2,1998,-73.5494901,45.5569178,5,1,93.92,9,1,7,144,194,27,202,216,34,60,41,18,43,50,338000
1,2011,-73.5953945,45.5319527,3,1,50.73,9,1,5,180,221,35,285,216,44,73,44,23,43,53,275000
3,2003,-73.6098465,45.445718,6,1,141.68,9,1,5,96,203,23,171,160,25,50,29,16,36,36,369000
1,1985,-73.6702883,45.5366127,5,1,75.72,9,1,5,100,93,25,184,10,26,42,14,15,1,35,195000
2,1984,-73.5517914,45.5743273,5,1,83.89,9,1,6,143,184,28,191,215,32,58,35,18,43,50,263500
2,2014,-73.5500564,45.5142423,5,2,120.77,9,1,4,154,208,27,214,216,35,66,41,19,43,52,599000
2,2006,-73.5859159,45.5681246,5,1,86.59,9,1,7,158,199,29,227,216,38,65,43,19,43,51,229500
1,2007,-73.5384703,45.5560918,4,1,72.65,9,1,6,131,186,22,173,216,32,53,39,19,43,50,317000
1,2005,-73.6324551,45.5530711,4,1,74.88,9,1,5,162,192,34,256,194,41,70,39,23,42,51,265000
1,1991,-73.5477439,45.463205,4,1,75.62,9,1,4,89,181,17,150,216,24,48,29,13,43,37,264500
2,2007,-73.56579382,45.49489498,4,1,74.97,9,1,5,139,213,27,217,216,37,62,41,18,43,49,389000
2,2009,-73.6525274,45.4989082,5,1,78,9,1,6,130,201,31,239,107,35,60,26,21,29,42,269000
1,1999,-73.57207757,45.47703202,1,1,85.94,9,1,5,128,212,24,207,216,35,62,41,18,43,42,320000
3,1984,-73.6315396,45.5558849,6,1,135.64,9,1,5,162,187,32,250,193,41,70,38,24,42,50,389000
2,1985,-73.5248472,45.5923918,5,1,72,9,1,5,115,118,20,143,172,22,41,26,13,20,22,199000
2,2007,-73.5852016,45.4816069,7,1,93.46,9,1,5,135,215,30,228,216,36,65,41,18,43,45,377000
2,1997,-73.5471432,45.4605789,5,2,105.26,9,2,4,88,177,16,144,216,24,47,27,12,43,35,449000
2,1987,-73.60364196,45.43776452,4,1,101.26,9,1,4,83,195,22,148,142,24,46,27,14,36,29,295000
2,2009,-73.53489702,45.59117443,6,1,82.8,9,1,5,124,130,23,164,182,24,50,28,14,24,29,259200
2,1987,-73.5576624,45.525554,5,1,93.37,9,1,5,165,210,29,230,216,36,66,42,20,43,52,269000
2,2009,-73.56662437,45.50478902,4,1,72.09,9,1,4,150,212,28,228,216,36,63,42,19,43,52,398000
2,1943,-73.612084,45.5634467,6,1,113.5,9,1,6,169,195,34,247,207,39,69,40,20,43,51,309000
2,2004,-73.5365806,45.572433,4,1,91.23,9,1,5,131,171,24,166,212,29,51,32,17,43,48,255000
2,1999,-73.62871442,45.46940431,5,1,91.04,9,1,5,123,225,31,227,177,33,59,32,20,38,38,370900
2,2005,-73.6256303,45.5168038,5,1,89.09,9,1,5,165,221,35,291,210,42,75,43,23,43,54,375000
2,2012,-73.6072847,45.4954801,2,2,120.77,9,1,6,160,245,34,284,216,40,72,45,23,43,53,529000
2,2006,-73.6702075,45.5254856,4,2,81.75,9,1,5,100,98,25,185,14,24,39,15,15,6,32,285000
1,2005,-73.56283307,45.50549724,3,1,66.89,9,1,4,148,211,27,225,216,34,63,41,19,43,52,340000
3,1988,-73.5507543,45.4632091,6,1,113.99,9,1,4,94,185,18,155,216,25,48,29,15,43,37,400000
3,1990,-73.5631536,45.54939,5,1,102.19,9,1,6,165,208,32,233,216,39,65,42,21,43,51,399000
2,1986,-73.562104,45.507557,2,1,83.98,9,1,4,149,211,28,224,216,34,64,42,19,43,52,349000
2,1995,-73.5621951,45.4617737,5,1,105.35,9,1,4,106,190,21,171,216,30,53,31,15,43,39,429000
1,1990,-73.5558814,45.46066,4,1,67.73,9,1,4,97,181,20,159,216,26,49,27,14,43,36,269000
1,2013,-73.6256847,45.4724806,3,1,74.23,9,1,5,128,226,32,235,192,35,62,32,20,40,40,345000
2,2005,-73.587765,45.4395837,5,1,90.77,9,1,4,87,200,22,157,187,23,46,29,15,38,31,324900
2,1984,-73.6287894,45.5537997,5,1,85.47,9,1,5,166,192,35,255,199,41,70,39,24,42,51,279000
1,2011,-73.58546794,45.4809674,3,1,57.79,9,1,5,135,215,30,228,216,36,65,41,18,43,45,275000
1,2007,-73.6150162,45.5417805,3,1,65.1,9,1,5,178,214,37,276,214,43,71,44,25,43,52,229600
2,1906,-73.5355584,45.5595981,7,1,125.6,9,1,6,128,184,23,165,215,29,52,37,17,43,50,409000
2,2009,-73.54420853,45.5524402,5,1,101.1,9,1,7,136,192,25,189,216,33,53,40,18,43,50,312900
2,2007,-73.565424,45.4948956,4,1,82.68,9,1,5,139,213,27,216,216,37,62,41,18,43,49,439000
4,1929,-73.6194348,45.5075488,8,1,134.71,9,1,6,170,248,37,299,215,43,76,46,24,43,55,576000
1,2009,-73.5500564,45.5142423,4,1,65.03,9,1,4,154,208,27,214,216,35,66,41,19,43,52,374000
2,1999,-73.57686985,45.47755045,5,1,83.71,9,1,5,129,212,25,213,216,35,62,41,18,43,42,372000
2,2005,-73.5494676,45.4497285,5,1,97.55,9,1,4,77,171,15,128,216,22,43,27,11,43,26,380000
2,2006,-73.5661919,45.4953172,4,1,74,9,1,5,140,213,27,218,216,37,62,41,18,43,49,419000
2,2012,-73.5167026,45.6071176,4,1,87.33,9,1,4,91,49,19,112,60,18,26,11,8,7,17,275000
2,2006,-73.5350223,45.5883806,5,1,86.2,9,1,5,126,134,23,165,185,24,51,28,14,26,33,259900
2,2009,-73.652128,45.4987453,4,1,79,9,1,6,131,201,31,240,109,35,60,26,21,31,42,295000
3,1935,-73.62270046,45.50824843,7,2,151.4,9,1,5,169,245,37,298,211,42,77,45,24,43,55,629000
2,1991,-73.58357795,45.45482131,5,1,65.03,9,1,4,105,205,25,185,216,29,53,33,17,43,38,198000
2,2005,-73.5474666,45.4677101,8,1,89.19,9,1,5,101,197,18,157,216,25,55,38,15,43,39,340000
3,2012,-73.57565064,45.46365648,7,1,78.97,9,1,4,114,192,24,192,216,31,57,32,17,43,40,319900
2,2007,-73.5811141,45.4746384,4,1,116.13,9,1,5,130,214,27,215,216,34,64,41,18,43,43,675000
2,2010,-73.6302,45.5920135,4,1,81.57,9,1,4,124,82,23,184,13,28,41,22,15,2,43,199900
1,2005,-73.5813023,45.518525,1,1,85.66,9,1,4,172,212,32,258,216,41,70,42,22,43,53,422500
1,2006,-73.5494282,45.4498277,7,1,92.9,9,1,4,77,171,15,128,216,22,43,27,11,43,26,399000
2,2003,-73.6520209,45.5580028,4,1,80.18,9,1,3,116,121,23,207,16,28,47,24,17,7,45,250000
1,1990,-73.55558099,45.4605095,4,1,83.61,9,1,4,96,181,20,158,216,26,49,27,14,43,36,319000
2,2008,-73.5338815,45.5907956,4,1,92.9,9,1,5,124,130,23,164,182,24,50,28,14,24,29,254900
2,2012,-73.5817227,45.4774049,4,1,75.72,9,1,5,132,214,28,217,216,35,64,41,18,43,44,289000
1,2009,-73.55475234,45.4480287,4,1,62.71,9,1,4,80,172,17,133,216,23,43,27,11,43,28,312000
3,2003,-73.5948456,45.5301379,6,1,115.2,9,1,5,182,222,35,285,216,44,74,44,23,43,53,439000
2,1988,-73.5508035,45.4627057,6,1,118.08,9,1,4,93,182,18,154,216,25,48,29,15,43,37,407000
2,2013,-73.5594213,45.44883032,6,2,100.15,9,1,4,89,178,19,147,216,25,46,27,13,43,30,495000
2,2006,-73.54930401,45.44970668,5,2,177.44,9,3,4,77,171,15,128,216,22,43,27,11,43,25,895000
1,1952,-73.62886906,45.50054186,5,1,70.79,9,1,5,155,246,36,289,203,40,73,44,23,43,51,249999
1,2010,-73.66566085,45.44225601,3,1,48.12,9,1,4,62,106,22,138,5,17,27,7,11,1,9,150000
3,1989,-73.6324626,45.4333634,8,1,121.61,9,1,4,72,142,22,145,35,20,33,14,11,17,24,352000
3,1987,-73.5508317,45.463012,6,1,99.87,9,1,4,93,183,18,155,216,25,48,29,15,43,37,387000
2,1963,-73.58588746,45.49773188,5,2,150.97,9,1,6,153,223,30,258,216,39,67,42,20,43,53,729000
3,1912,-73.6061496,45.5195788,7,1,111.48,9,1,5,171,224,34,296,216,42,74,44,23,43,53,699000
1,1986,-73.5470314,45.6149769,3,1,59.09,9,1,4,114,62,24,152,72,21,38,12,11,7,20,179000
2,2008,-73.6677799,45.535718,4,2,83.61,9,1,5,102,96,26,187,11,28,43,14,16,4,37,299000
1,1989,-73.5557202,45.461996,4,1,72.74,9,1,4,98,186,20,160,216,27,49,29,15,43,37,299000
2,1997,-73.6162781,45.4411606,6,1,96.8,9,1,4,83,191,22,158,103,26,45,26,14,35,28,292800
2,2000,-73.6364597,45.5410997,5,2,120.5,9,1,4,148,197,33,255,198,39,68,40,22,42,52,385000
2,2011,-73.6087982,45.5303565,5,1,92.07,9,1,5,177,221,37,294,216,43,75,44,25,43,53,355000
2,2010,-73.53589585,45.61307553,5,1,85.94,9,1,4,111,52,23,138,69,21,35,12,10,7,20,224500
2,2006,-73.53530288,45.58817327,4,1,86.21,9,1,5,128,134,23,165,186,24,51,28,14,26,34,244500
4,2006,-73.62504748,45.51111464,8,2,210.43,9,2,5,167,240,36,299,210,42,77,45,23,43,55,801000
3,1910,-73.5461234,45.5414493,9,1,119.38,9,2,5,143,199,26,198,216,33,57,40,18,43,51,439000
2,1996,-73.5501765,45.4646529,11,2,105.44,9,2,4,98,188,18,156,216,25,49,32,15,43,38,429000
2,2012,-73.5595213,45.495571,5,1,89.19,9,1,5,135,211,26,204,216,34,61,41,17,43,49,449000
4,1927,-73.570291,45.5309272,11,2,223.43,9,1,4,174,210,32,252,216,40,69,42,22,43,53,819000
1,2011,-73.5505152,45.5133341,5,1,70.42,9,1,4,152,208,27,211,216,35,67,41,20,43,52,409000
3,2011,-73.5934695,45.4745839,5,1,103.12,9,1,5,128,222,29,225,216,36,65,42,18,43,42,374000
2,1998,-73.61252739,45.44357189,5,1,114.27,9,1,5,91,203,23,166,142,25,50,28,14,36,35,320000
2,2013,-73.5689016,45.5027299,6,2,104.33,9,1,5,151,216,28,235,216,37,63,42,19,43,52,639000
2,2003,-73.5865657,45.5655303,5,1,102.19,9,1,6,165,204,29,231,216,40,68,44,20,43,51,375000
2,2002,-73.5651552,45.4927483,5,1,102.19,9,1,5,137,213,27,213,216,37,62,41,17,43,48,374900
1,2008,-73.6537971,45.5000145,3,1,69.96,9,1,7,127,199,31,239,94,36,60,25,21,28,42,219000
3,2009,-73.5859396,45.5726048,5,1,102.8,9,1,7,152,195,28,216,215,38,62,40,19,43,51,334500
2,2004,-73.5644741,45.493768,5,1,72.65,9,1,5,138,213,27,212,216,37,62,41,17,43,49,315900
1,2004,-73.6321623,45.5529358,3,1,57.97,9,1,5,162,193,34,256,195,41,70,39,23,42,51,214000
1,2013,-73.5689016,45.5027299,3,1,68.75,9,1,5,151,216,28,235,216,37,63,42,19,43,52,350000
2,2009,-73.5859396,45.5726048,5,1,78.13,9,1,7,152,195,28,216,215,38,62,40,19,43,51,299000
3,2001,-73.5588682,45.5975998,6,2,127.46,9,1,5,135,127,25,186,176,28,52,31,16,22,43,399000
2,1987,-73.6097879,45.4245064,4,1,85.47,9,1,3,67,140,20,130,47,18,31,14,9,23,18,294000
3,2011,-73.5585556,45.4851038,5,1,116.04,9,1,5,127,211,25,201,216,35,62,41,17,43,43,425000
2,2005,-73.54911089,45.44981466,6,2,136.57,9,1,4,77,171,15,128,216,22,42,27,11,43,25,699000
2,2007,-73.5704941,45.5067198,6,2,74.32,9,1,4,152,212,28,234,216,37,64,42,19,43,52,498000
2,2006,-73.581169,45.474261,5,1,88.5,9,1,5,129,214,27,215,216,34,64,41,18,43,43,375000
3,1988,-73.5481073,45.4520799,6,2,151.8,9,2,4,77,173,15,132,216,22,43,27,11,43,26,820000
2,2012,-73.5167026,45.6071176,4,1,82.68,9,1,4,91,49,19,112,60,18,26,11,8,7,17,282000
2,2008,-73.54301543,45.54663673,5,1,105.35,9,1,7,137,196,25,188,216,32,56,40,19,43,50,329000
2,2005,-73.5646516,45.494652,3,1,75.44,9,1,5,138,213,27,212,216,37,62,41,18,43,49,335000
2,1990,-73.5558814,45.46066,5,2,99.5,9,1,4,97,181,20,159,216,26,49,27,14,43,36,397000
1,2010,-73.55516195,45.49700741,1,1,61.97,6,1,4,130,207,25,197,216,34,61,41,17,43,49,269000
2,1999,-73.6314981,45.4771661,4,1,90.4,9,1,5,132,228,33,241,184,36,62,32,21,40,41,299000
2,2009,-73.5859396,45.5726048,4,1,85.1,9,1,7,152,195,28,216,215,38,62,40,19,43,51,299000
2,1988,-73.5537507,45.5735846,4,1,105.1,9,1,6,144,185,27,192,215,32,58,35,18,43,50,349000
3,1883,-73.5330986,45.5995613,7,1,127,9,1,5,118,111,23,152,157,22,43,24,13,14,25,299000
1,2005,-73.5607294,45.4955762,1,1,81.7,9,1,5,137,212,26,208,216,34,62,41,17,43,49,350000
2,1939,-73.6217613,45.5177836,7,1,107.95,9,1,5,165,226,36,292,211,43,76,44,23,43,53,508000
2,2001,-73.5466101,45.4671484,6,1,104.24,9,1,5,96,192,17,155,216,24,53,36,14,43,39,425000
2,2006,-73.5494107,45.4497643,4,1,92.9,9,1,4,77,171,15,128,216,22,43,27,11,43,26,378000
2,2010,-73.6520938,45.4987644,6,1,93.55,9,1,6,131,201,32,241,109,35,60,26,21,31,42,375000
3,2007,-73.61113453,45.42391308,6,2,120.77,9,1,3,66,137,20,129,42,18,30,12,9,23,16,354000
1,2008,-73.5892223,45.5338305,3,1,67.82,9,1,5,181,220,34,279,216,44,75,44,23,43,53,233000
1,2004,-73.5735404,45.4817315,7,2,142.51,9,1,5,131,212,25,214,216,35,62,41,18,43,44,749000
2,1932,-73.6348805,45.4848793,6,1,116.13,9,1,5,135,229,33,252,189,36,64,34,22,41,41,424500
2,1984,-73.5400613,45.4640659,7,2,138.52,9,1,4,79,179,14,134,216,23,46,28,12,43,33,569000
2,2005,-73.5478214,45.4679316,5,2,108.14,9,2,5,101,199,18,158,216,25,55,38,15,43,39,489000
1,2007,-73.5821486,45.5943145,3,1,64.2,9,1,6,142,152,26,195,173,30,55,34,18,26,46,234900
2,1985,-73.5719887,45.5204369,4,1,95.69,9,1,4,170,211,29,247,216,39,69,42,21,43,53,369000
1,2009,-73.58928242,45.53527588,4,1,78.78,9,1,5,182,220,34,281,216,44,75,44,23,43,53,323450
4,2010,-73.5350759,45.5907435,7,2,120.77,9,1,5,124,130,23,164,182,24,50,28,14,25,29,349900
1,2005,-73.54908943,45.46777579,5,1,87.14,9,1,5,102,202,19,158,216,26,56,38,16,43,40,389000
3,1988,-73.54046345,45.46365235,6,2,151.43,9,2,4,79,179,14,134,216,23,46,28,12,43,33,625000
2,2007,-73.5293258,45.5575416,4,1,89.19,9,1,5,120,180,22,156,215,28,52,36,15,43,50,284000
2,1996,-73.6150889,45.4416412,8,1,94.76,9,1,4,84,195,22,159,110,26,46,27,14,35,28,339000
3,2006,-73.5614692,45.5103392,6,2,78.78,9,1,4,157,212,29,231,216,35,67,42,19,43,52,335000
1,2012,-73.5609864,45.5112022,3,1,56,9,1,4,158,212,29,234,216,36,67,42,20,43,52,249999
2,2011,-73.67199898,45.53357259,4,1,91.6,9,1,5,98,91,23,176,10,23,40,14,15,1,33,269000
4,1930,-73.5814163,45.5393583,7,1,146.32,9,2,4,179,216,34,270,216,43,73,44,23,43,52,478600
2,2002,-73.6246635,45.5167913,4,1,118.17,9,1,5,165,222,35,291,210,42,75,43,23,43,54,469000
